,lon,lon_de,lon_iz
0,12.5,25.0,0.0
0,17.5,30.0,5.0
0,22.5,35.0,10.0
0,27.5,40.0,15.0
0,32.5,45.0,20.0
0,37.5,50.0,25.0
0,42.5,55.0,30.0
0,47.5,60.0,35.0
0,52.5,65.0,40.0
0,57.5,70.0,45.0
0,62.5,75.0,50.0
0,67.5,80.0,55.0
0,72.5,85.0,60.0
0,77.5,90.0,65.0
0,82.5,95.0,70.0
0,87.5,100.0,75.0
0,92.5,105.0,80.0
0,97.5,110.0,85.0
0,102.5,115.0,90.0
0,107.5,120.0,95.0
0,112.5,125.0,100.0
0,117.5,130.0,105.0
0,122.5,135.0,110.0
0,127.5,140.0,115.0
0,132.5,145.0,120.0
0,137.5,150.0,125.0
0,142.5,155.0,130.0
0,147.5,160.0,135.0
0,152.5,165.0,140.0
0,157.5,170.0,145.0
0,162.5,175.0,150.0
0,167.5,180.0,155.0
0,172.5,185.0,160.0
0,177.5,190.0,165.0
0,182.5,195.0,170.0
0,187.5,200.0,175.0
0,192.5,205.0,180.0
0,197.5,210.0,185.0
0,202.5,215.0,190.0
0,207.5,220.0,195.0
0,212.5,225.0,200.0
0,217.5,230.0,205.0
0,222.5,235.0,210.0
0,227.5,240.0,215.0
0,232.5,245.0,220.0
0,237.5,250.0,225.0
0,242.5,255.0,230.0
0,247.5,260.0,235.0
0,252.5,265.0,240.0
0,257.5,270.0,245.0
0,262.5,275.0,250.0
0,267.5,280.0,255.0
0,272.5,285.0,260.0
0,277.5,290.0,265.0
0,282.5,295.0,270.0
0,287.5,300.0,275.0
0,292.5,305.0,280.0
0,297.5,310.0,285.0
0,302.5,315.0,290.0
0,307.5,320.0,295.0
0,312.5,325.0,300.0
0,317.5,330.0,305.0
0,322.5,335.0,310.0
0,327.5,340.0,315.0
0,332.5,345.0,320.0
0,337.5,350.0,325.0
0,342.5,355.0,330.0
0,347.5,360.0,335.0
0,352.5,5.0,340.0
0,357.5,10.0,345.0
